Date,Open,High,Low,Close,Volume,Adj Close
2013-02-15,4.40,4.56,4.33,4.39,3883100,4.39
2013-02-14,4.65,4.69,4.42,4.45,4199500,4.45
2013-02-13,4.51,4.69,4.44,4.56,5237000,4.56
2013-02-12,4.67,4.70,4.47,4.56,4291100,4.56
2013-02-11,4.77,4.86,4.61,4.67,4343300,4.67
2013-02-08,4.95,4.96,4.78,4.81,5966100,4.81
2013-02-07,4.92,5.35,4.89,5.00,6399800,5.00
2013-02-06,5.26,5.26,5.02,5.04,3718900,5.04
2013-02-05,5.26,5.28,4.90,5.07,4493500,5.07
2013-02-04,5.11,5.45,5.01,5.45,5071000,5.45
2013-02-01,4.98,4.98,4.78,4.90,4695000,4.90
2013-01-31,5.38,5.48,5.14,5.34,3678100,5.34
2013-01-30,4.93,5.34,4.85,5.34,4330800,5.34
2013-01-29,5.28,5.28,4.70,4.76,5894100,4.76
2013-01-28,4.80,5.16,4.77,5.06,2793400,5.06
2013-01-25,4.80,5.00,4.68,4.80,4159300,4.80
2013-01-24,4.77,5.25,4.61,4.78,6325900,4.78
2013-01-23,4.96,4.96,4.65,4.69,3858800,4.69
2013-01-22,5.33,5.45,5.00,5.02,3010800,5.02
2013-01-18,5.88,5.95,5.25,5.28,5061900,5.28
2013-01-17,5.80,5.96,5.75,5.95,2574500,5.95
2013-01-16,6.23,6.27,5.87,5.95,3790500,5.95
2013-01-15,6.43,6.49,6.18,6.27,2781900,6.27
2013-01-14,6.56,6.62,6.27,6.31,2328300,6.31
2013-01-11,6.66,6.77,6.53,6.56,2433300,6.56
2013-01-10,6.64,6.85,6.60,6.64,2953600,6.64
2013-01-09,6.70,6.97,6.64,6.85,2854900,6.85
2013-01-08,6.99,7.18,6.87,6.90,3193100,6.90
2013-01-07,7.31,7.35,7.00,7.08,2988200,7.08
2013-01-04,7.29,7.37,6.95,7.03,3693300,7.03
2013-01-03,7.41,7.55,7.04,7.35,4343600,7.35
2013-01-02,7.66,8.08,7.35,7.39,5227200,7.39
2012-12-31,12.53,12.78,9.10,9.34,7435800,9.34
2012-12-28,11.80,12.29,11.23,12.09,4986000,12.09
2012-12-27,11.00,12.52,10.80,11.13,5226600,11.13
2012-12-26,10.20,11.01,10.15,10.98,1725700,10.98
2012-12-24,9.94,10.14,9.82,9.83,479000,9.83
2012-12-21,10.42,10.54,9.92,10.16,2015800,10.16
2012-12-20,0.88,0.91,0.85,0.90,48700,9.00
2012-12-19,0.77,0.87,0.77,0.86,434100,8.60
2012-12-18,0.83,0.84,0.78,0.79,461500,7.90
2012-12-17,0.89,0.91,0.86,0.86,256400,8.60
2012-12-14,0.90,0.92,0.89,0.90,222800,9.00
2012-12-13,0.87,0.92,0.84,0.88,385800,8.80
2012-12-12,0.82,0.86,0.80,0.85,420100,8.50
2012-12-11,0.85,0.86,0.82,0.83,459700,8.30
2012-12-10,0.88,0.90,0.86,0.88,268400,8.80
2012-12-07,0.90,0.93,0.86,0.87,435700,8.70
2012-12-06,0.89,0.93,0.89,0.91,256600,9.10
2012-12-05,0.93,0.97,0.89,0.90,496800,9.00
2012-12-04,0.91,0.95,0.89,0.94,740800,9.40
2012-12-03,0.83,0.91,0.82,0.90,526500,9.00
2012-11-30,0.82,0.90,0.82,0.87,544100,8.70
2012-11-29,0.84,0.89,0.83,0.86,496400,8.60
2012-11-28,0.95,0.99,0.87,0.87,691900,8.70
2012-11-27,0.88,0.93,0.85,0.93,900500,9.30
2012-11-26,0.98,0.98,0.87,0.90,1568000,9.00
2012-11-23,0.99,1.00,0.95,0.95,735400,9.50
2012-11-21,1.04,1.04,0.99,1.04,1023400,10.40
2012-11-20,1.06,1.08,1.04,1.05,935800,10.50
2012-11-19,1.21,1.22,1.08,1.08,2008300,10.80
2012-11-16,1.37,1.45,1.28,1.28,1374500,12.80
2012-11-15,1.37,1.46,1.33,1.39,1465900,13.90
2012-11-14,1.25,1.42,1.25,1.34,1742200,13.40
2012-11-13,1.37,1.38,1.28,1.33,1523700,13.30
2012-11-12,1.41,1.43,1.30,1.32,1200700,13.20
2012-11-09,1.51,1.52,1.40,1.47,1250500,14.70
2012-11-08,1.46,1.50,1.40,1.47,831000,14.70
2012-11-07,1.37,1.51,1.35,1.46,2226500,14.60
2012-11-06,1.38,1.40,1.27,1.31,1306100,13.10
2012-11-05,1.40,1.46,1.37,1.40,1076900,14.00
2012-11-02,1.33,1.38,1.30,1.38,1284900,13.80
2012-11-01,1.51,1.51,1.36,1.37,1065900,13.70
2012-10-31,1.46,1.57,1.45,1.52,767100,15.20
2012-10-26,1.52,1.56,1.46,1.50,1288800,15.00
2012-10-25,1.50,1.58,1.48,1.52,831100,15.20
2012-10-24,1.51,1.60,1.50,1.59,1332700,15.90
2012-10-23,1.52,1.61,1.50,1.55,2146100,15.50
2012-10-22,1.40,1.48,1.37,1.37,1114500,13.70
2012-10-19,1.31,1.45,1.30,1.40,2252900,14.00
2012-10-18,1.31,1.32,1.25,1.28,700700,12.80
2012-10-17,1.31,1.33,1.28,1.30,786400,13.00
2012-10-16,1.34,1.35,1.30,1.31,1011200,13.10
2012-10-15,1.44,1.48,1.36,1.37,740100,13.70
2012-10-12,1.41,1.48,1.37,1.46,595900,14.60
2012-10-11,1.44,1.46,1.40,1.43,735900,14.30
2012-10-10,1.48,1.53,1.46,1.48,716800,14.80
2012-10-09,1.42,1.52,1.40,1.50,751600,15.00
2012-10-08,1.42,1.43,1.38,1.39,442400,13.90
2012-10-05,1.35,1.40,1.29,1.39,1420200,13.90
2012-10-04,1.44,1.48,1.41,1.43,652400,14.30
2012-10-03,1.51,1.55,1.44,1.47,711800,14.70
2012-10-02,1.51,1.58,1.48,1.51,721700,15.10
2012-10-01,1.46,1.55,1.37,1.53,1018000,15.30
2012-09-28,1.52,1.55,1.46,1.52,942800,15.20
2012-09-27,1.61,1.68,1.44,1.46,1658900,14.60
2012-09-26,1.65,1.77,1.62,1.70,1975300,17.00
2012-09-25,1.38,1.59,1.36,1.59,1241400,15.90
2012-09-24,1.48,1.49,1.38,1.39,751100,13.90
2012-09-21,1.46,1.48,1.40,1.44,777000,14.40
2012-09-20,1.52,1.55,1.46,1.47,654800,14.70
2012-09-19,1.44,1.50,1.41,1.46,803500,14.60
2012-09-18,1.58,1.61,1.45,1.49,803200,14.90
2012-09-17,1.64,1.67,1.54,1.55,1007200,15.50
2012-09-14,1.45,1.61,1.41,1.59,1469900,15.90
2012-09-13,1.76,1.81,1.51,1.52,1943600,15.20
2012-09-12,1.79,1.87,1.75,1.77,713500,17.70
2012-09-11,1.88,1.92,1.78,1.84,2039300,18.40
