Date,Open,High,Low,Close,Volume,Adj Close
2012-10-05,26.86,28.53,26.20,27.78,795800,277.80
2012-10-04,29.55,29.97,28.60,28.64,540800,286.40
2012-10-03,30.38,31.79,29.30,30.01,624000,300.10
2012-10-02,30.70,32.48,30.08,30.22,583000,302.20
2012-10-01,29.43,31.96,27.85,31.55,690700,315.50
2012-09-28,30.54,31.48,29.10,30.92,589300,309.20
2012-09-27,33.21,34.30,29.03,29.15,749900,291.50
2012-09-26,34.12,36.87,33.21,35.37,1063100,353.70
2012-09-25,27.85,33.00,27.84,32.89,893700,328.90
2012-09-24,29.99,30.28,28.02,28.45,623700,284.50
2012-09-21,29.79,30.32,28.50,29.26,646700,292.60
2012-09-20,30.87,31.88,29.70,29.75,719200,297.50
2012-09-19,29.43,30.73,29.19,30.34,705500,303.40
2012-09-18,32.57,33.21,30.26,30.51,580200,305.10
2012-09-17,33.93,33.95,32.10,32.17,555500,321.70
2012-09-14,29.56,33.20,28.51,32.68,775200,326.80
2012-09-13,35.96,37.19,30.23,30.70,832100,307.00
2012-09-12,36.46,38.48,35.42,35.90,720600,359.00
2012-09-11,38.35,39.34,36.27,38.06,730800,380.60
2012-09-10,35.94,38.89,33.65,38.63,537100,386.30
2012-09-07,37.70,37.99,34.61,34.72,352300,347.20
2012-09-06,4.73,4.75,3.92,3.92,27800,392.00
2012-09-05,5.19,5.24,4.90,4.95,160900,495.00
2012-09-04,5.37,5.54,5.21,5.23,133900,523.00
2012-08-31,5.50,5.76,5.25,5.30,222000,530.00
2012-08-30,5.71,5.81,5.55,5.70,157700,570.00
2012-08-29,5.39,5.48,5.18,5.47,145400,547.00
2012-08-28,5.38,5.45,5.23,5.42,173800,542.00
2012-08-27,5.07,5.26,4.98,5.24,148100,524.00
2012-08-24,5.74,5.77,5.07,5.15,199800,515.00
2012-08-23,5.44,5.75,5.41,5.61,210000,561.00
2012-08-22,5.48,5.60,5.26,5.38,212900,538.00
2012-08-21,4.91,5.40,4.87,5.29,218200,529.00
2012-08-20,5.12,5.29,5.02,5.05,113000,505.00
2012-08-17,5.22,5.37,4.95,5.03,160200,503.00
2012-08-16,5.52,5.70,5.32,5.33,141000,533.00
2012-08-15,5.56,5.62,5.28,5.55,138700,555.00
2012-08-14,5.06,5.56,5.00,5.54,160300,554.00
2012-08-13,5.32,5.34,4.98,4.99,141500,499.00
2012-08-10,5.58,5.65,5.26,5.27,128800,527.00
2012-08-09,5.60,5.70,5.34,5.46,147100,546.00
2012-08-08,5.97,6.07,5.50,5.51,153800,551.00
2012-08-07,5.53,6.03,5.46,6.02,133200,602.00
2012-08-06,5.82,5.88,5.57,5.72,113600,572.00
2012-08-03,6.43,6.50,6.01,6.02,192100,602.00
2012-08-02,7.63,7.79,6.94,6.94,270100,694.00
2012-08-01,7.30,7.62,7.08,7.27,285300,727.00
2012-07-31,7.48,7.63,7.18,7.56,157500,756.00
2012-07-30,6.81,7.22,6.63,7.20,166500,720.00
2012-07-27,6.70,7.10,6.66,6.90,156700,690.00
2012-07-26,7.59,7.94,7.31,7.33,182500,733.00
2012-07-25,8.79,9.44,8.35,8.64,268000,864.00
2012-07-24,8.22,9.41,8.17,8.86,272900,886.00
2012-07-23,8.43,8.92,7.94,8.19,258800,819.00
2012-07-20,6.97,7.39,6.79,7.25,194000,725.00
2012-07-19,6.80,7.11,6.57,6.57,170500,657.00
2012-07-18,6.83,6.99,6.53,6.89,153000,689.00
2012-07-17,7.05,7.46,6.66,6.74,209300,674.00
2012-07-16,7.45,7.61,7.13,7.30,114000,730.00
2012-07-13,8.19,8.21,7.50,7.52,185300,752.00
2012-07-12,8.70,9.07,8.04,8.42,235100,842.00
2012-07-11,8.82,9.11,8.12,8.26,204200,826.00
2012-07-10,8.15,9.18,7.90,8.86,236400,886.00
2012-07-09,8.45,8.85,8.22,8.38,118300,838.00
2012-07-06,9.22,9.26,8.51,8.58,170000,858.00
2012-07-05,8.26,8.93,8.26,8.74,156300,874.00
2012-07-03,8.43,8.44,7.90,8.16,94200,816.00
2012-07-02,9.45,9.64,8.52,8.55,175200,855.00
2012-06-29,10.04,10.35,9.76,9.84,179900,984.00
2012-06-28,12.33,12.78,11.30,11.36,203500,1136.00
2012-06-27,11.54,12.11,11.20,12.08,150400,1208.00
2012-06-26,11.91,12.89,11.58,11.87,182400,1187.00
2012-06-25,12.34,12.90,12.18,12.60,174300,1260.00
2012-06-22,12.47,12.94,10.53,10.69,214900,1069.00
2012-06-21,11.10,13.47,10.82,13.45,208600,1345.00
2012-06-20,12.09,13.00,11.05,11.05,264400,1105.00
