Date,Open,High,Low,Close,Volume,Adj Close
2010-06-29,40.55,40.55,36.94,37.74,37556600,18.87
2010-06-28,43.26,44.58,41.94,42.63,21477200,21.32
2010-06-25,41.83,43.95,40.70,43.44,28652000,21.72
2010-06-24,42.27,43.32,41.04,41.35,32654600,20.67
2010-06-23,43.46,45.00,41.86,43.33,28481000,21.67
2010-06-22,47.26,48.77,43.60,43.84,30171000,21.92
2010-06-21,50.47,50.74,45.88,46.72,25967000,23.36
2010-06-18,48.52,49.37,47.41,48.20,15599400,24.10
2010-06-17,48.76,49.00,46.37,48.02,20918800,24.01
2010-06-16,47.26,49.38,47.00,47.93,19385400,23.97
2010-06-15,46.35,48.90,45.74,48.38,19950200,24.19
2010-06-14,46.11,47.50,44.77,45.10,23293600,22.55
2010-06-11,41.08,44.45,40.82,44.32,21244600,22.16
2010-06-10,40.68,42.62,40.22,42.60,21010600,21.30
2010-06-09,39.43,41.37,37.96,38.56,30783600,19.28
2010-06-08,39.00,39.88,36.36,38.42,41978000,19.21
2010-06-07,42.50,42.91,38.55,38.67,27049200,19.33
2010-06-04,45.31,46.60,41.47,41.89,32726400,20.94
2010-06-03,47.73,49.60,46.99,49.12,25157000,24.56
2010-06-02,44.51,47.44,43.22,47.39,22560000,23.69
2010-06-01,46.60,48.50,43.61,43.65,26700200,21.83
2010-05-28,49.51,50.06,46.87,48.04,27804200,24.02
2010-05-27,47.52,49.98,46.50,49.96,26493000,24.98
2010-05-26,44.43,47.57,43.53,44.19,26836800,22.09
2010-05-25,41.14,44.06,38.94,43.97,32866000,21.99
2010-05-24,45.21,46.58,43.86,44.03,22447600,22.01
2010-05-21,41.76,47.03,41.15,45.84,36711600,22.92
2010-05-20,47.77,48.51,43.84,43.99,43877400,22.00
2010-05-19,53.00,54.77,49.53,51.83,29364800,25.92
2010-05-18,59.16,59.69,53.20,54.00,23789400,27.00
2010-05-17,57.66,59.03,52.25,56.93,22367400,28.47
2010-05-14,58.94,58.98,54.25,56.62,24194200,28.31
2010-05-13,61.52,63.16,59.22,60.12,17570000,30.06
2010-05-12,57.62,62.08,57.39,61.92,17738600,30.96
2010-05-11,53.65,59.15,53.05,56.67,21792400,28.33
2010-05-10,54.64,55.69,53.22,55.69,19409000,27.84
2010-05-07,50.68,52.84,45.99,47.65,33978400,23.83
2010-05-06,57.32,59.31,42.29,52.13,28311200,26.07
2010-05-05,59.76,61.24,57.21,58.54,20089800,29.27
2010-05-04,64.74,64.78,60.11,61.30,18733800,30.65
2010-05-03,64.67,67.85,64.57,67.69,12818400,33.85
2010-04-30,69.49,69.92,63.25,63.45,15195800,31.73
2010-04-29,66.88,69.57,65.68,69.53,14555800,34.76
